Unnamed: 0,ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status
16777,41667,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,256500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3060.0,EQUI,803,EXP,25-34,to_inst,,central,direct,1
99743,124633,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,426500,3.69,-0.0268,2667.38,360.0,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,21720.0,EXP,688,CIB,55-64,not_inst,70.14802632,North,direct,0
93849,118739,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,176500,4.375,1.1728,4150.63,180.0,not_neg,not_int,not_lpsm,378000.0,sb,ir,home,1U,960.0,CRIF,506,CIB,65-74,to_inst,46.69312169,North,direct,0
112129,137019,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,436500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,5280.0,EQUI,733,EXP,55-64,not_inst,,south,direct,1
145265,170155,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,686500,3.99,0.3219,5589.6,360.0,not_neg,not_int,not_lpsm,3908000.0,sb,pr,home,1U,6780.0,EXP,882,CIB,55-64,not_inst,17.56653019,North,direct,0
143103,167993,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,406500,3.5,0.3547,795.0,240.0,not_neg,not_int,not_lpsm,1638000.0,sb,pr,home,1U,11280.0,CRIF,761,EXP,55-64,to_inst,24.81684982,North,direct,0
41043,65933,2019,cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,396500,3.99,0.8487,4662.5,240.0,not_neg,not_int,not_lpsm,518000.0,sb,pr,home,1U,5640.0,CIB,842,EXP,45-54,to_inst,76.54440154,south,direct,0
141436,166326,2019,cf,Female,nopre,type2,p3,l1,nopc,b/c,526500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,6360.0,EQUI,801,EXP,35-44,not_inst,,south,direct,1
3649,28539,2019,cf,Female,nopre,type1,p2,l1,nopc,nob/c,486500,4.99,0.175,0.0,360.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,12420.0,CIB,734,CIB,45-54,not_inst,68.71468927,North,direct,0
128423,153313,2019,cf,Joint,nopre,type2,p3,l2,nopc,b/c,276500,3.625,0.2393,3988.79,360.0,not_neg,not_int,not_lpsm,328000.0,sb,pr,home,1U,5760.0,CIB,515,EXP,25-34,not_inst,84.29878049,central,direct,0
73950,98840,2019,cf,Male,pre,type1,p3,l1,nopc,nob/c,226500,4.875,1.4515,1615.04,360.0,not_neg,not_int,not_lpsm,318000.0,sb,pr,home,1U,4500.0,CIB,654,CIB,35-44,not_inst,71.22641509,south,direct,0
67341,92231,2019,cf,Joint,pre,type1,p3,l1,nopc,nob/c,286500,3.625,0.7155,,180.0,not_neg,not_int,not_lpsm,368000.0,sb,pr,home,1U,11100.0,CRIF,700,EXP,45-54,to_inst,77.85326087,North,direct,0
81329,106219,2019,,Male,nopre,type1,p4,l1,nopc,nob/c,326500,4.5,0.6111,0.0,360.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1U,5340.0,EXP,640,CIB,45-54,not_inst,91.20111732,North,direct,0
119437,144327,2019,cf,Male,pre,type1,p1,l1,nopc,nob/c,276500,3.25,0.5045,6674.0,180.0,not_neg,not_int,not_lpsm,338000.0,sb,pr,home,1U,6900.0,EXP,863,CIB,25-34,to_inst,81.80473373,North,direct,0
24102,48992,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,266500,4.125,0.9183,0.0,240.0,not_neg,not_int,not_lpsm,338000.0,sb,pr,home,1U,3960.0,EXP,664,CIB,35-44,to_inst,78.84615385,North,direct,0
111054,135944,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,346500,3.875,0.2885,750.0,360.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,6900.0,EXP,623,CIB,45-54,to_inst,80.95794393,North,direct,0
12401,37291,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,226500,4.25,0.4152,6615.0,360.0,not_neg,not_int,not_lpsm,318000.0,sb,pr,home,1U,2940.0,CIB,898,CIB,65-74,to_inst,71.22641509,south,direct,0
111383,136273,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,186500,,,,360.0,not_neg,not_int,not_lpsm,198000.0,sb,pr,home,1U,3240.0,CIB,703,CIB,35-44,to_inst,94.19191919,North,direct,1
15721,40611,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,306500,,,,360.0,not_neg,not_int,not_lpsm,378000.0,sb,ir,home,1U,3900.0,EXP,599,EXP,>74,to_inst,81.08465608,south,direct,1
117457,142347,2019,cf,Male,pre,type1,p1,l1,nopc,nob/c,236500,4.375,0.2171,686.34,360.0,not_neg,not_int,not_lpsm,248000.0,sb,pr,home,1U,13920.0,CIB,570,CIB,35-44,not_inst,95.36290323,south,direct,0
